@relation BaseHistorica-weka.filters.unsupervised.attribute.Remove-R1

@attribute WMC numeric
@attribute LCOM numeric
@attribute NBD numeric
@attribute DIT numeric
@attribute NOC numeric
@attribute NORM numeric
@attribute SIX numeric
@attribute MLOC numeric
@attribute NAC numeric
@attribute NSF numeric
@attribute NSM numeric
@attribute PAR numeric
@attribute NOI numeric
@attribute NOP numeric
@attribute I numeric
@attribute A numeric
@attribute Dn numeric
@attribute debug numeric
@attribute breakpoint numeric
@attribute refactoring numeric
@attribute CodErro numeric
@attribute qtdeErros numeric
@attribute classe {basic,intermediate,proficient}

@data
4.667,0.292,1.077,1,0,0,0,5.231,2.667,0,0.333,0.923,0,1,1,0,0,0,0,0,0,0,basic
4.667,0.292,1.077,1,0,0,0,5.615,2.667,0,0.333,0.923,0,1,1,0,0,0,0,0,0,0,basic
4.667,0.292,1.077,1,0,0,0,5.692,2.667,0,0.333,0.923,0,1,1,0,0,0,0,0,0,0,basic
4.667,0.292,1.077,1,0,0,0,5.769,2.667,0,0.333,0.923,0,1,1,0,0,0,0,0,0,0,basic
5,0.292,1.077,1,0,0,0,6.154,2.667,0,0.333,0.923,0,1,1,0,0,0,0,0,2,2,basic
6,0.292,1.071,1,0,0,0,9.357,2.667,0,0.333,0.857,0,1,1,0,0,0,0,1,2,1,basic
6,0.292,1.071,1,0,0,0,9.357,2.667,0,0.333,0.857,0,1,1,0,0,0,0,1,0,0,basic
8,0.438,1.077,1,0,0,0,6.077,4,0,0.5,0.923,0,1,1,0,0,0,0,0,2,6,basic
8,0.438,1.077,1,0,0,0,6.077,4,0,0.5,0.923,0,1,1,0,0,0,0,0,0,0,basic
8,0.438,1.077,1,0,0,0,6.154,4,0,0.5,0.923,0,1,1,0,0,0,0,1,3,1,basic
8,0.438,1.077,1,0,0,0,6.154,4,0,0.5,0.923,0,1,1,0,0,0,0,1,1,1,basic
8,0.438,1.077,1,0,0,0,6.154,4,0,1,0.923,0,1,1,0,0,0,0,0,2,3,basic
